Name,Fortune,Change,Tax,Age,Type
Rune Stokke,"4,45 mrd","+0,90 mrd",0 mill,64,Industri
Ove Ingvard Utkilen,"4,35 mrd","+1,35 mrd",0 mill,88,Shipping
Snorre Osvald Bentsen,"4,35 mrd","+1,10 mrd",0 mill,79,Eiendom
Stig Rune Remøy,"4,35 mrd","+0,45 mrd",0 mill,66,Shipping
Endre Tarald Glastad,"4,30 mrd","+0,30 mrd",0 mill,54,Sjømat
Margaret Boel Garmann,"4,30 mrd","+0,30 mrd",0 mill,70,Hotell/Reiseliv
Arthur Buchardt,"4,20 mrd","+0,40 mrd",0 mill,77,Eiendom
Espen Galtung Døsvig,"4,00 mrd","+0,50 mrd",0 mill,53,Eiendom
Harald Moræus-Hanssen,"4,00 mrd","+0,40 mrd",0 mill,62,Finans
Jan Henrik Jebsen,"4,00 mrd","+2,30 mrd",0 mill,64,Industri
Kim Erla,"4,00 mrd","-0,40 mrd",0 mill,66,Eiendom
Jacob Palmer Meland,"3,95 mrd","+3,95 mrd",0 mill,41,Sjømat
Jon Erling Melhus,"3,90 mrd","+0,40 mrd",0 mill,80,Eiendom
Terje Tom Høili,"3,85 mrd","+0,35 mrd",0 mill,81,Eiendom
Atle Bergshaven,"3,80 mrd","+0,80 mrd",0 mill,79,Shipping
Tor Andenæs,"3,80 mrd","0,00 mrd",0 mill,82,Eiendom
Tor Olav Trøim,"3,75 mrd","+0,75 mrd",0 mill,62,Finans
Odd Einar Sandøy,"3,70 mrd","-0,20 mrd",0 mill,67,Sjømat
Julia Smedvig Hagland,"3,65 mrd","-0,25 mrd",0 mill,39,Finans
Ruth Katharina Mustad Bevreng,"3,65 mrd","-0,90 mrd",0 mill,73,Eiendom
Eivind Gunvaldsen,"3,60 mrd","+0,30 mrd",0 mill,52,Finans
Geir Hove,"3,60 mrd","-0,40 mrd",0 mill,65,Eiendom
Kjell Haugland,"3,60 mrd","+0,90 mrd",0 mill,68,Sjømat
Thomas Wilhelmsen,"3,60 mrd","+0,45 mrd",0 mill,51,Shipping
Edvard Bakkejord,"3,50 mrd","+0,30 mrd",0 mill,80,Finans
Knut Gregardsøn Heje,"3,50 mrd","+0,20 mrd",0 mill,75,Handel
Ring Tore Teigen,"3,50 mrd","+0,30 mrd",0 mill,60,Industri
Trygve Hegnar,"3,50 mrd","+0,20 mrd",0 mill,82,Finans
Finn Wilhelm Sinkaberg,"3,40 mrd","+0,50 mrd",0 mill,74,Sjømat
Jørgen Gregardsøn Heje,"3,40 mrd","+0,30 mrd",0 mill,72,Handel
Kristian Jebsen,"3,40 mrd","+0,50 mrd",0 mill,71,Shipping
Trygve Jacobsen,"3,40 mrd","0,00 mrd",0 mill,79,Industri
