Name,Fortune,Change,Tax,Age,Type
Hans Joakim Giørtz,"1,40 mrd","+0,05 mrd",0 mill,82,Handel
Jo Hanssen,"1,40 mrd","+0,05 mrd",0 mill,85,Finans
John-Erik Karlsen,"1,40 mrd","-0,40 mrd",0 mill,70,Industri
Knut Erik L. Karlsen,"1,40 mrd","+0,15 mrd",0 mill,57,Finans
Kristian Michel Andvord,"1,40 mrd","+0,20 mrd",0 mill,74,Eiendom
Per Magne Grøndahl,"1,40 mrd","+0,20 mrd",0 mill,62,Sjømat
Richard Trygve Andvord,"1,40 mrd","+0,20 mrd",0 mill,75,Eiendom
Sigurd Marius Skaugen,"1,40 mrd","-0,20 mrd",0 mill,67,Finans
Åge E. Westbø,"1,40 mrd","+0,10 mrd",0 mill,62,Finans
Birger Stenersen,"1,35 mrd","+1,35 mrd",0 mill,85,Shipping
Bjørn Henrik Rasmussen,"1,35 mrd","-0,25 mrd",0 mill,72,Industri
John Hatleskog,"1,35 mrd","+1,35 mrd",0 mill,85,Shipping
Kjell Andenæs,"1,35 mrd","-0,35 mrd",0 mill,82,Eiendom
Liv Grethe K. Ellingsen,"1,35 mrd","+1,35 mrd",0 mill,68,Sjømat
Lotto Milliardær,"1,35 mrd","+1,35 mrd",0 mill,,Finans
Ole-Eirik Lerøy,"1,35 mrd","+0,30 mrd",0 mill,66,Sjømat
Paal Hveem,"1,35 mrd","-0,35 mrd",0 mill,72,Eiendom
Roy Oddvar Myklebust,"1,35 mrd","-0,20 mrd",0 mill,56,Finans
Terje Haugan,"1,35 mrd","0,00 mrd",0 mill,79,Eiendom
Alex Vassbotten,"1,30 mrd","-0,05 mrd",0 mill,63,Sjømat
Ragnvald Albretsen,"1,30 mrd","-0,30 mrd",0 mill,73,Eiendom
Tord Ueland Kolstad,"1,30 mrd","-0,35 mrd",0 mill,54,Eiendom
Vidar Lyhus,"1,30 mrd","0,00 mrd",0 mill,68,Eiendom
Bjørn-Erik Indahl,"1,25 mrd","-0,25 mrd",0 mill,62,Eiendom
Borgny Eidesvik,"1,25 mrd","+1,25 mrd",0 mill,67,Shipping
Carl Haakon Garder,"1,25 mrd","0,00 mrd",0 mill,62,Industri
Halvor H. Holta,"1,25 mrd","-0,05 mrd",0 mill,67,Industri
Hans Ole Helling,"1,25 mrd","0,00 mrd",0 mill,79,Handel
John Markus Lervik,"1,25 mrd","+0,15 mrd",0 mill,56,Finans
Kjell Kristoffersen,"1,25 mrd","-0,25 mrd",0 mill,71,Eiendom
Leif Jørgen Moger,"1,25 mrd","0,00 mrd",0 mill,82,Finans
Torgeir Mjør Grimsrud,"1,25 mrd","0,00 mrd",0 mill,80,Eiendom
Trond Reime Reinertsen,"1,25 mrd","-0,05 mrd",0 mill,80,Industri
Bettina Burud,"1,20 mrd","+0,10 mrd",0 mill,29,Handel
Eli Sævareid,"1,20 mrd","-0,30 mrd",0 mill,67,Eiendom
Erik Tømmeraas Veiby,"1,20 mrd","-0,05 mrd",0 mill,62,Industri
Gunnar Mikalsen,"1,20 mrd","+1,20 mrd",0 mill,69,Sjømat
Inge Helge Vassbotten,"1,20 mrd","-0,20 mrd",0 mill,83,Sjømat
Ingunn Tandberg,"1,20 mrd","-0,20 mrd",0 mill,93,Eiendom
Joakim Burud,"1,20 mrd","+0,10 mrd",0 mill,32,Handel
Morthen Bakke,"1,20 mrd","-0,40 mrd",0 mill,56,Eiendom
Sigurd Steen Aase,"1,20 mrd","-0,15 mrd",0 mill,73,Eiendom
Simen Thorsen,"1,20 mrd","+1,20 mrd",0 mill,48,Finans
Torbjørg Svendsen Sæverud,"1,20 mrd","+0,10 mrd",0 mill,66,Sjømat
Ulf Ellingsen,"1,20 mrd","+1,20 mrd",0 mill,74,Sjømat
Alf Møkster,"1,15 mrd","+1,15 mrd",0 mill,58,Shipping
Anna Elisabeth Kristoffersen,"1,15 mrd","+1,15 mrd",0 mill,51,Sjømat
Anne Jorunn Møkster,"1,15 mrd","+1,15 mrd",0 mill,60,Shipping
Astrid Simone Møkster,"1,15 mrd","+1,15 mrd",0 mill,50,Shipping
Geir Førre,"1,15 mrd","+1,15 mrd",0 mill,58,Finans
Hannah E. Wilhelmsen,"1,15 mrd","+1,15 mrd",0 mill,31,Shipping
Hans Jacob Sundby,"1,15 mrd","0,00 mrd",0 mill,60,Finans
Jan Chr. G. Sundt,"1,15 mrd","0,00 mrd",0 mill,78,Finans
Karl Johan Lier,"1,15 mrd","-0,05 mrd",0 mill,65,Industri
Kristian Nergaard,"1,15 mrd","+1,15 mrd",0 mill,63,Handel
Peder Nergaard,"1,15 mrd","+1,15 mrd",0 mill,56,Handel
Randi Sundby,"1,15 mrd","0,00 mrd",0 mill,57,Finans
Rune Syversen,"1,15 mrd","+0,05 mrd",0 mill,57,Finans
Sigbjørn Tysse,"1,15 mrd","+1,15 mrd",0 mill,58,Shipping
Thomas Johan Jessen,"1,15 mrd","+1,15 mrd",0 mill,49,Sjømat
Vibeke Nergaard,"1,15 mrd","+1,15 mrd",0 mill,70,Handel
Vibeke Rivelsrud,"1,15 mrd","0,00 mrd",0 mill,55,Hotell/Reiseliv
